name,culture,business,crime,fashion,health,politics,science,sports,tech
TF-IDF,0.38095238095238093,0.5111111111111111,0.5217391304347826,0.40540540540540543,0.32432432432432434,0.375,0.35294117647058826,0.5428571428571428,0.5
RAKE,0.30952380952380953,0.24444444444444444,0.0,0.21621621621621623,0.13513513513513514,0.20833333333333334,0.17647058823529413,0.2,0.2727272727272727
VanillaTextRank,0.21428571428571427,0.4666666666666667,0.391304347826087,0.2702702702702703,0.35135135135135137,0.4166666666666667,0.23529411764705882,0.4,0.45454545454545453
PositionBiasedTextRank,0.2619047619047619,0.5555555555555556,0.34782608695652173,0.32432432432432434,0.3783783783783784,0.4583333333333333,0.35294117647058826,0.37142857142857144,0.5454545454545454
